"Data Source","World Development Indicators",

"Last Updated Date","2022-12-22",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Aruba","ABW","Rural population (% of total population)","SP.RUR.TOTL.ZS","49.224","49.239","49.254","49.27","49.285","49.3","49.315","49.33","49.346","49.361","49.376","49.391","49.407","49.422","49.437","49.452","49.468","49.483","49.498","49.513","49.528","49.544","49.559","49.574","49.589","49.605","49.62","49.635","49.65","49.665","49.681","49.696","50.002","50.412","50.823","51.233","51.644","52.054","52.464","52.873","53.283","53.661","54.028","54.394","54.76","55.125","55.489","55.853","56.217","56.579","56.941","57.06","57.043","57.01","56.959","56.892","56.808","56.707","56.589","56.454","56.303","56.134",
"Africa Eastern and Southern","AFE","Rural population (% of total population)","SP.RUR.TOTL.ZS","85.4361895690879","85.1885900229424","84.930751011056","84.6520244044671","84.3598052051909","84.0587175160152","83.7448232628573","83.4256896352791","83.100391780832","82.7654818911782","82.448033203714","82.1246789740157","81.7794650975209","81.4376580128029","81.1211012183649","80.7987948005529","80.4758752762178","80.1395624181112","79.7849037522791","79.4449778868093","79.1238876521988","78.8343099384926","78.5548941628369","78.2128931717864","77.8074643021449","77.3548947975873","76.851871978962","76.3403507713304","75.8264506458996","75.3171498793823","74.7972014720327","74.3548539532784","73.92612610304","73.4901768480922","73.051291142805","72.6647118090091","72.3751026657621","72.0889277762591","71.7966246945317","71.510132150262","71.2272200649118","70.9284091916424","70.6138097173647","70.3015806527994","69.9858518978672","69.650131489884","69.3239344902064","69.0652336063637","68.656758697167","68.2424738011818","67.8187090125992","67.3823080298543","66.9595264004628","66.5237920569193","66.0630407407373","65.5744193109627","65.1052501079635","64.6411016988664","64.1524043065099","63.6637424522907","63.1716992030603","62.6763025060419",
"Afghanistan","AFG","Rural population (% of total population)","SP.RUR.TOTL.ZS","91.599","91.316","91.024","90.724","90.414","90.096","89.767","89.43","89.082","88.725","88.357","87.979","87.59","87.191","86.781","86.359","85.926","85.483","85.027","84.558","84.005","83.438","82.853","82.253","81.635","81.003","80.353","79.686","79.002","78.912","78.823","78.734","78.645","78.556","78.466","78.376","78.286","78.195","78.105","78.014","77.922","77.831","77.739","77.647","77.5","77.297","77.093","76.887","76.68","76.472","76.263","76.052","75.84","75.627","75.413","75.197","74.98","74.75","74.505","74.246","73.974","73.686",
"Africa Western and Central","AFW","Rural population (% of total population)","SP.RUR.TOTL.ZS","85.2946093427171","84.9098767668753","84.5159244828963","84.1024080500838","83.6707921459762","83.2213503008408","82.7920442818054","82.3475200641017","81.8890484766259","81.4179951461248","80.947280840486","80.4066221081484","79.8502459614112","79.2836790347139","78.7050574523807","78.1168756075716","77.5123370330968","76.9460168482495","76.3792248192763","75.8996682894557","75.4149062169119","74.8074222442035","74.2021931987248","73.5915674995909","72.9507090762096","72.2688772413894","71.5950077456123","70.929359311424","70.2745303450857","69.6345443156686","69.0294588903012","68.5896703882402","68.1625087996321","67.7408737145278","67.3337304920251","66.9327171905015","66.5259256137256","66.072193670478","65.6067068856165","65.136481964975","64.6629506217044","64.0550919777063","63.4451186189316","62.8266871192753","62.2010232162358","61.5655162324967","60.9206963771361","60.2784023207662","59.6394646691056","58.9984882478912","58.3528420952534","57.7117008250017","57.0741150222377","56.4459061114966","55.819824990888","55.1941367422783","54.574933623638","53.9605221757173","53.3505741713724","52.7445867836195","52.142168975222","51.5451937300821",
"Angola","AGO","Rural population (% of total population)","SP.RUR.TOTL.ZS","89.565","89.202","88.796","88.376","87.942","87.496","87.035","86.559","86.068","85.564","85.043","84.368","83.545","82.69","81.798","80.872","79.908","78.912","77.878","76.808","75.702","74.563","73.388","72.179","70.935","69.662","68.357","67.022","65.657","64.269","62.856","61.42","59.961","58.489","57","55.831","54.654","53.475","52.29","51.103","49.913","48.726","47.539","46.355","45.173","44","43.236","42.476","41.718","40.966","40.217","39.472","38.732","37.998","37.269","36.554","35.851","35.161","34.486","33.823","33.175","32.54",
"Albania","ALB","Rural population (% of total population)","SP.RUR.TOTL.ZS","69.295","69.057","68.985","68.914","68.842","68.77","68.698","68.626","68.554","68.452","68.26","68.067","67.873","67.679","67.484","67.288","67.092","66.895","66.698","66.5","66.238","65.976","65.713","65.448","65.183","64.917","64.65","64.381","64.112","63.842","63.572","63.3","62.751","62.201","61.646","61.089","60.527","59.965","59.399","58.831","58.259","57.565","56.499","55.427","54.349","53.269","52.185","51.098","50.009","48.924","47.837","46.753","45.67","44.613","43.577","42.566","41.579","40.617","39.681","38.771","37.888","37.031",
"Andorra","AND","Rural population (% of total population)","SP.RUR.TOTL.ZS","41.55","39.017","36.538","34.128","31.795","29.555","27.407","25.359","23.412","21.576","19.845","18.22","16.699","15.284","13.968","12.748","11.618","10.58","9.622","8.74299999999999","7.93600000000001","7.2","6.526","5.911","5.351","4.84099999999999","4.675","4.822","4.973","5.128","5.288","5.47","5.676","5.889","6.11","6.339","6.575","6.81999999999999","7.07299999999999","7.334","7.605","7.944","8.35899999999999","8.79300000000001","9.249","9.715","10.193","10.692","10.996","11.088","11.181","11.274","11.369","11.463","11.559","11.655","11.752","11.85","11.938","12.016","12.084","12.142",
"Arab World","ARB","Rural population (% of total population)","SP.RUR.TOTL.ZS","68.9778381238754","68.2453225499139","67.5051682190653","66.7385073321748","65.9462067951856","65.1170149001584","64.3267460911028","63.6423718680868","62.9429511449953","62.2328871249358","61.5184516052825","60.8309992967442","60.1289085070347","59.4337623000374","58.8022700981193","58.2012491140536","57.5555342616551","56.93392509834","56.4581883310298","56.0282328086218","55.5162077419654","54.9656781668881","54.4288337813778","53.8612230568459","53.2235330155122","52.6103376059188","51.9946806885887","51.4248322613269","50.9001980771336","50.4049153280816","49.925587919861","49.528824779973","48.9809732938948","48.5651910704595","48.2975858303913","48.1014964152013","47.9080761120386","47.6838252777122","47.4379989599068","47.189474066627","46.9440026204463","46.6881988507604","46.4335672413065","46.169837888301","45.9044775313627","45.5647769327928","45.165699618285","44.8803317448647","44.4407076058118","44.003243057178","43.6195824443551","43.3620048705326","43.1357786488442","42.8220261789692","42.492739168208","42.1538468677223","41.8767446178568","41.6287100332936","41.3704238436104","41.1161830250364","40.9123809889593","40.7051135330233",
"United Arab Emirates","ARE","Rural population (% of total population)","SP.RUR.TOTL.ZS","26.5","25.617","24.752","23.907","23.081","22.277","21.492","20.728","20.2","20.2","20.2","20.2","20.2","20.2","20.2","20.2","20.097","19.894","19.691","19.49","19.29","19.317","19.534","19.753","19.974","20.196","20.376","20.518","20.661","20.804","20.949","21.094","21.24","21.386","21.533","21.681","21.507","21.062","20.622","20.19","19.764","19.345","18.933","18.528","18.129","17.738","17.352","16.977","16.613","16.258","15.913","15.577","15.251","14.934","14.625","14.326","14.035","13.752","13.478","13.211","12.952","12.701",
"Argentina","ARG","Rural population (% of total population)","SP.RUR.TOTL.ZS","26.389","25.783","25.233","24.691","24.156","23.631","23.112","22.602","22.099","21.606","21.12","20.679","20.257","19.842","19.433","19.031","18.634","18.245","17.861","17.484","17.113","16.687","16.241","15.806","15.379","14.962","14.555","14.157","13.767","13.387","13.016","12.672","12.458","12.248","12.04","11.836","11.634","11.436","11.241","11.048","10.858","10.671","10.49","10.314","10.14","9.96899999999999","9.8","9.634","9.47","9.309","9.151","9.01000000000001","8.879","8.751","8.623","8.497","8.373","8.251","8.13","8.009","7.889","7.771",
"Armenia","ARM","Rural population (% of total population)","SP.RUR.TOTL.ZS","48.725","47.853","46.981","46.111","45.242","44.378","43.517","42.659","41.805","40.958","40.136","39.343","38.555","37.775","37","36.389","35.781","35.179","34.581","34.161","33.95","33.741","33.533","33.325","33.117","32.91","32.704","32.499","32.294","32.31","32.579","32.85","33.122","33.394","33.668","33.943","34.219","34.496","34.774","35.053","35.334","35.615","35.764","35.863","35.962","36.062","36.161","36.261","36.36","36.46","36.56","36.66","36.76","36.836","36.888","36.915","36.918","36.897","36.851","36.781","36.687","36.569",
"American Samoa","ASM","Rural population (% of total population)","SP.RUR.TOTL.ZS","33.789","33.359","32.932","32.507","32.084","31.666","31.25","30.837","30.426","30.02","29.616","29.216","28.818","28.424","28.033","27.646","27.261","26.88","26.503","26.129","25.67","24.957","24.257","23.571","22.897","22.238","21.592","20.96","20.341","19.737","19.052","18.114","17.211","16.346","15.515","14.72","13.957","13.229","12.533","11.869","11.413","11.509","11.606","11.703","11.802","11.9","12","12.1","12.201","12.303","12.406","12.498","12.58","12.652","12.712","12.762","12.802","12.83","12.847","12.853","12.847","12.831",
"Antigua and Barbuda","ATG","Rural population (% of total population)","SP.RUR.TOTL.ZS","60.344","60.96","61.573","62.183","62.789","63.39","63.988","64.582","65.171","65.755","66.181","66.102","66.022","65.943","65.863","65.783","65.703","65.623","65.543","65.462","65.382","65.302","65.221","65.14","65.06","64.979","64.898","64.817","64.736","64.655","64.574","64.535","64.915","65.291","65.666","66.039","66.41","66.779","67.145","67.51","67.873","68.26","68.902","69.536","70.163","70.782","71.394","71.998","72.595","73.182","73.762","74.297","74.474","74.65","74.825","75","75.154","75.287","75.401","75.494","75.567","75.62",
"Australia","AUS","Rural population (% of total population)","SP.RUR.TOTL.ZS","18.471","18.059","17.772","17.489","17.208","16.932","16.66","16.493","16.328","16.164","16.001","15.84","15.68","15.522","15.364","15.208","15.053","14.9","14.748","14.597","14.448","14.3","14.33","14.359","14.389","14.418","14.448","14.478","14.507","14.537","14.567","14.597","14.715","14.843","14.972","15.102","15.233","15.364","15.497","15.63","15.765","15.9","15.778","15.657","15.537","15.418","15.3","15.178","15.057","14.937","14.818","14.7","14.598","14.498","14.398","14.299","14.2","14.096","13.988","13.876","13.759","13.638",
"Austria","AUT","Rural population (% of total population)","SP.RUR.TOTL.ZS","35.28","35.186","35.137","35.087","35.038","34.989","34.939","34.89","34.841","34.792","34.742","34.699","34.689","34.679","34.669","34.659","34.649","34.639","34.629","34.619","34.609","34.636","34.9","35.164","35.43","35.695","35.963","36.231","36.5","36.769","37.04","37.311","37.583","37.856","38.13","38.404","38.68","38.955","39.232","39.509","39.787","40.066","40.345","40.625","40.906","41.187","41.468","41.751","42.034","42.317","42.601","42.885","42.853","42.664","42.474","42.285","42.095","41.906","41.703","41.485","41.252","41.005",
"Azerbaijan","AZE","Rural population (% of total population)","SP.RUR.TOTL.ZS","47.337","47.636","47.936","48.236","48.536","48.836","49.136","49.436","49.737","50.037","49.992","49.538","49.083","48.629","48.302","48.103","47.904","47.706","47.508","47.345","47.223","47.103","46.982","46.861","46.701","46.502","46.303","46.105","45.906","45.943","46.251","46.559","46.868","47.176","47.485","47.794","48.104","48.412","48.722","48.815","48.614","48.413","48.213","48.012","47.811","47.611","47.411","47.21","47.01","46.81","46.594","46.363","46.117","45.855","45.578","45.286","44.979","44.657","44.32","43.969","43.603","43.224",
"Burundi","BDI","Rural population (% of total population)","SP.RUR.TOTL.ZS","97.923","97.885","97.846","97.807","97.767","97.706","97.605","97.499","97.389","97.274","97.155","97.03","96.899","96.764","96.623","96.475","96.322","96.162","95.995","95.822","95.661","95.497","95.326","95.15","94.967","94.779","94.583","94.38","94.17","93.953","93.729","93.545","93.363","93.177","92.986","92.789","92.588","92.382","92.17","91.964","91.754","91.539","91.318","91.092","90.861","90.625","90.383","90.136","89.882","89.624","89.358","89.085","88.806","88.518","88.224","87.922","87.612","87.294","86.968","86.634","86.292","85.942",
"Belgium","BEL","Rural population (% of total population)","SP.RUR.TOTL.ZS","7.54000000000001","7.446","7.321","7.16500000000001","7.012","6.863","6.71599999999999","6.572","6.431","6.29300000000001","6.157","6.024","5.89400000000001","5.767","5.642","5.52","5.40000000000001","5.194","4.995","4.804","4.619","4.465","4.363","4.26300000000001","4.16500000000001","4.06999999999999","3.977","3.88500000000001","3.79600000000001","3.708","3.623","3.539","3.458","3.378","3.3","3.223","3.149","3.07599999999999","3.004","2.935","2.871","2.81399999999999","2.759","2.70399999999999","2.65000000000001","2.59699999999999","2.54600000000001","2.495","2.44499999999999","2.39700000000001","2.349","2.30200000000001","2.256","2.211","2.167","2.124","2.081","2.039","1.999","1.959","1.92100000000001","1.883",
"Benin","BEN","Rural population (% of total population)","SP.RUR.TOTL.ZS","90.725","90.144","89.53","88.882","88.199","87.481","86.725","85.931","85.097","84.224","83.309","82.353","81.352","80.311","79.225","78.096","76.921","75.707","74.448","73.324","72.661","71.99","71.308","70.616","69.914","69.204","68.483","67.754","67.015","66.27","65.515","64.753","64.173","63.864","63.553","63.242","62.929","62.615","62.301","61.985","61.667","61.35","60.964","60.464","59.961","59.457","58.951","58.442","57.931","57.42","56.907","56.392","55.875","55.358","54.834","54.305","53.771","53.232","52.688","52.139","51.585","51.028",
"Burkina Faso","BFA","Rural population (% of total population)","SP.RUR.TOTL.ZS","95.3","95.204","95.107","95.007","94.905","94.802","94.697","94.589","94.48","94.368","94.254","94.139","94.02","93.9","93.778","93.653","93.332","92.849","92.332","91.782","91.195","90.572","89.909","89.204","88.456","87.666","87.168","86.928","86.684","86.437","86.185","85.93","85.67","85.407","85.14","84.869","84.593","84.125","83.49","82.834","82.156","81.46","80.742","80.004","79.243","78.463","77.661","77.004","76.466","75.921","75.367","74.804","74.233","73.654","73.066","72.47","71.866","71.257","70.642","70.02","69.393","68.76",
"Bangladesh","BGD","Rural population (% of total population)","SP.RUR.TOTL.ZS","94.865","94.722","94.502","94.273","94.036","93.789","93.533","93.267","92.991","92.704","92.407","92.099","91.779","91.447","90.966","90.164","89.299","88.37","87.371","86.299","85.149","84.199","83.788","83.369","82.94","82.504","82.059","81.605","81.141","80.67","80.189","79.743","79.39","79.034","78.672","78.307","77.936","77.562","77.182","76.798","76.41","75.904","75.244","74.571","73.886","73.191","72.483","71.763","71.032","70.291","69.538","68.775","68.007","67.238","66.465","65.692","64.917","64.142","63.368","62.595","61.823","61.054",
"Bulgaria","BGR","Rural population (% of total population)","SP.RUR.TOTL.ZS","62.9","61.218","59.506","57.77","56.013","54.245","52.767","51.501","50.232","48.966","47.7","46.64","45.581","44.529","43.481","42.438","41.474","40.572","39.674","38.784","37.9","37.397","36.896","36.397","35.901","35.41","35.001","34.654","34.308","33.965","33.623","33.283","32.944","32.67","32.443","32.218","31.993","31.769","31.546","31.323","31.101","30.834","30.476","30.121","29.767","29.416","29.068","28.722","28.378","28.037","27.698","27.362","27.025","26.687","26.349","26.01","25.671","25.331","24.992","24.653","24.314","23.975",
"Bahrain","BHR","Rural population (% of total population)","SP.RUR.TOTL.ZS","17.68","17.663","17.645","17.628","17.611","17.5","17.239","16.981","16.725","16.474","16.225","15.979","15.735","15.496","15.259","15.025","14.794","14.566","14.341","14.118","13.899","13.683","13.469","13.258","13.05","12.845","12.643","12.443","12.246","12.051","11.86","11.671","11.602","11.605","11.608","11.612","11.615","11.618","11.621","11.624","11.628","11.631","11.627","11.617","11.601","11.578","11.548","11.512","11.47","11.421","11.366","11.305","11.238","11.165","11.085","11.001","10.91","10.814","10.713","10.606","10.494","10.378",
"Bahamas, The","BHS","Rural population (% of total population)","SP.RUR.TOTL.ZS","40.288","39.546","38.807","38.074","37.358","36.657","35.96","35.27","34.584","33.907","33.236","32.571","31.912","31.262","30.619","29.983","29.353","28.734","28.121","27.516","26.898","26.157","25.429","24.715","24.013","23.326","22.653","21.993","21.346","20.716","20.162","19.933","19.707","19.482","19.26","19.039","18.82","18.604","18.389","18.176","17.993","17.951","17.908","17.866","17.824","17.782","17.74","17.698","17.657","17.615","17.573","17.524","17.468","17.404","17.332","17.254","17.168","17.075","16.975","16.868","16.755","16.635",
