"Data Source","World Development Indicators",

"Last Updated Date","2022-12-22",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Aruba","ABW","Rural population","SP.RUR.TOTL","26880","27481","27918","28318","28673","28980","29239","29362","29347","29286","29184","29050","29078","29339","29676","30025","30271","30415","30559","30701","30840","31021","31280","31570","31823","31984","32031","31990","31941","32082","32646","33726","35097","36478","37970","39475","41014","42610","44256","45929","47476","48666","49587","50424","51223","52084","53051","54058","55090","56133","57135","57795","58248","58652","59006","59314","59577","59791","59963","60091","60011","59803",
"Africa Eastern and Southern","AFE","Rural population","SP.RUR.TOTL","111658758","114296883","117064799","119893122","122832934","125871499","128929776","132073909","135349905","138711770","142202879","145773923","149328561","153022708","156979843","161019315","165138645","169191373","173517340","178207779","182750748","187576355","192763278","197706339","202462141","207263254","212138775","217180965","222016197","226798678","231789546","236852989","241689289","246651505","251602062","256845485","262711347","268424729","274058918","279952322","286048935","292226383","298513611","304973519","311634089","318408250","325481776","333175124","340365126","347634312","355003581","362377299","369971909","377783210","385577486","393451859","401294002","409014178","416834659","424791683","432797335","440599883",
"Afghanistan","AFG","Rural population","SP.RUR.TOTL","7898093","8026804","8163985","8308019","8458694","8617815","8782038","8951970","9128927","9311235","9501003","9691641","9886067","10092624","10300800","10498997","10676535","10845486","11001526","10981014","10489394","9307672","8358450","8185365","8362433","8515214","8395637","8225793","8203141","8422410","8429959","8460100","9482568","11000794","12127356","12868486","13392069","13909967","14444061","15027717","15228282","15323859","16325389","17583264","18254002","18869118","19614729","19916271","20264376","20942092","21498290","22244569","23105778","23853670","24672275","25381619","25970228","26643455","27333488","28042342","28829317","29547690",
"Africa Western and Central","AFW","Rural population","SP.RUR.TOTL","82954373","84327418","85737206","87186879","88657553","90158852","91732332","93316168","94927194","96574557","98290072","99974408","101700503","103515235","105428488","107448679","109492687","111666254","113962892","116475377","119024035","121429889","123935013","126258579","128433004","130674640","132966425","135304813","137716799","140238538","142710829","145528682","148571165","151596465","154649268","157868502","161125963","164330199","167613929","170916194","174339008","177535155","180788340","184068342","187390070","190745255","194094242","197479784","200921680","204415142","207933213","211507150","215054125","218561121","222082250","225573122","229093774","232644696","236154623","239621856","243081107","246481855",
"Angola","AGO","Rural population","SP.RUR.TOTL","4798172","4853778","4902782","4948903","4989125","5019280","5036754","5044228","5050645","5072564","5127838","5211453","5317415","5439538","5564304","5687496","5806739","5927787","6052359","6177835","6306012","6435873","6566136","6695834","6822317","6945734","7063038","7167371","7261836","7352051","7435009","7510862","7574578","7625954","7673358","7767350","7861076","7952345","8035333","8110431","8182768","8254958","8326997","8401539","8479480","8558422","8717389","8881597","9049269","9220494","9396374","9575556","9755929","9935338","10110460","10281807","10452268","10621656","10784991","10942954","11089900","11227528",
"Albania","ALB","Rural population","SP.RUR.TOTL","1114818","1146208","1180553","1214693","1248887","1282417","1315273","1348911","1386348","1424962","1457678","1489206","1522477","1554419","1585958","1618163","1649474","1681437","1711648","1740858","1769877","1798543","1829633","1861315","1893194","1924635","1954134","1985256","2014614","2060783","2089320","2067878","2037549","2007405","1977318","1947385","1917515","1887867","1858316","1828925","1799636","1761589","1723790","1684768","1645111","1604189","1561661","1517619","1473922","1432259","1393502","1358266","1324613","1291587","1258985","1226200","1195854","1167112","1137407","1106598","1075204","1041188",
"Andorra","AND","Rural population","SP.RUR.TOTL","3924","3986","4024","4040","4035","4009","3987","3993","3999","3981","3941","3885","3813","3728","3632","3524","3403","3274","3134","2985","2826","2663","2519","2390","2257","2121","2132","2297","2469","2648","2833","3032","3251","3484","3729","3989","4218","4411","4611","4815","5027","5388","5922","6499","7116","7755","8177","8358","8363","8189","7997","7956","8073","8181","8279","8362","8525","8750","8955","9173","9389","9596",
"Arab World","ARB","Rural population","SP.RUR.TOTL","64397301","65351959","66336440","67334151","68332516","69313223","70369947","71597518","72843623","74095637","75345080","76634748","77930410","79275712","80778065","82503949","84500472","86517101","88493512","90773822","93104682","95155896","97203328","99289164","101210985","103093596","104985847","106909207","108649059","110397538","112793548","114330890","115888166","118010622","120548935","123045238","125497011","127868431","130158663","132437494","134760263","137035624","139309363","141544299","143795602","146061880","148461034","151470322","154045019","156543696","158961824","161458885","164081345","166634015","169088347","171356230","173821136","176366208","178945980","181514684","183789991","185827299",
"United Arab Emirates","ARE","Rural population","SP.RUR.TOTL","35358","36116","36850","37535","38154","38717","39225","39674","43144","51159","60213","69592","79258","89192","99375","109766","123431","140623","158558","177057","195610","212522","228129","244458","261326","278611","299262","323345","347865","372774","398063","423648","449487","475472","501509","527713","553318","578388","602395","625398","647337","668215","687960","706555","723952","759363","850066","996995","1161030","1299444","1349704","1335760","1321494","1307001","1292258","1277435","1262345","1247072","1231912","1216952","1202890","1189467",
"Argentina","ARG","Rural population","SP.RUR.TOTL","5370094","5332093","5304067","5274989","5243902","5211501","5177808","5143540","5107735","5071366","5035600","5009153","4985814","4964585","4945651","4924377","4898926","4873929","4848569","4822810","4795885","4751003","4697346","4643350","4587894","4531558","4475419","4419313","4362871","4306031","4248117","4195162","4181937","4167656","4152439","4136222","4117198","4095914","4072973","4049427","4025145","3999543","3974139","3948010","3921016","3894938","3868731","3841665","3813926","3787305","3732551","3717660","3705497","3693179","3679391","3664923","3649822","3634137","3617403","3599141","3579773","3559798",
"Armenia","ARM","Rural population","SP.RUR.TOTL","927796","943436","958105","971163","982217","991427","998931","1005045","1010202","1014267","1017198","1019347","1020955","1022513","1024029","1030099","1036329","1043241","1050648","1057986","1064374","1068873","1073730","1079160","1083622","1086325","1088122","1089160","1087287","1114109","1158685","1188392","1183964","1154547","1135862","1127852","1128850","1128508","1126869","1123810","1119566","1115865","1110485","1106052","1102503","1098898","1094408","1089423","1084772","1080782","1077165","1073763","1071341","1068754","1066037","1062633","1058009","1052274","1045300","1037446","1029293","1020631",
"American Samoa","ASM","Rural population","SP.RUR.TOTL","6787","6881","7005","7135","7269","7407","7538","7662","7791","7924","8019","8062","8087","8109","8133","8176","8232","8283","8329","8373","8442","8500","8579","8659","8739","8820","8900","8980","9058","9136","9110","8874","8619","8365","8112","7861","7607","7352","7094","6836","6646","6713","6752","6781","6801","6813","6820","6822","6819","6812","6805","6788","6754","6705","6638","6556","6458","6346","6221","6082","5934","5778",
"Antigua and Barbuda","ATG","Rural population","SP.RUR.TOTL","33396","34287","35102","35928","36835","37808","38786","39793","40835","41914","42698","42814","42713","42509","42296","42124","42043","42075","42163","42294","42426","42496","42544","42607","42525","42268","41997","41712","41419","41144","40893","41066","41973","42984","44043","45169","46353","47559","48728","49837","50942","52024","53189","54290","55387","56533","57754","59050","60436","61864","63210","64437","65294","66063","66771","67456","68062","68601","69087","69543","70023","70492",
"Australia","AUS","Rural population","SP.RUR.TOTL","1898168","1893125","1909068","1915045","1921617","1928216","1941057","1946009","1960830","1982191","2001245","2049221","2066154","2076844","2108402","2112847","2112387","2114608","2117518","2118609","2122700","2134026","2175903","2210349","2241719","2276359","2314331","2354684","2398321","2444312","2485877","2522951","2571981","2617535","2665835","2719097","2776179","2830515","2883617","2940357","2999891","3064677","3075954","3087676","3096947","3110866","3128998","3161216","3199492","3240082","3264665","3283984","3318631","3353116","3380029","3405449","3435109","3466799","3492334","3516209","3529911","3503340",
"Austria","AUT","Rural population","SP.RUR.TOTL","2486372","2493385","2505220","2517777","2531075","2544011","2558257","2573835","2583601","2588892","2594215","2602592","2617008","2630789","2634510","2626772","2621379","2621628","2618751","2613535","2612783","2621498","2643375","2659070","2679016","2700321","2722325","2744348","2768641","2801639","2843876","2893427","2946774","2992756","3026042","3052457","3078548","3103950","3129454","3157687","3187562","3222225","3260666","3299328","3342824","3388796","3428840","3463449","3497858","3530644","3562894","3598756","3612504","3617832","3629979","3654565","3677700","3686708","3686762","3683835","3678385","3672325",
"Azerbaijan","AZE","Rural population","SP.RUR.TOTL","1843539","1927233","1998044","2071037","2154634","2234076","2313397","2388748","2461235","2533523","2585611","2617068","2646285","2671629","2702062","2736604","2769330","2803276","2839149","2874457","2909173","2947588","2986904","3027127","3067252","3101753","3134852","3169880","3201760","3251179","3318602","3385445","3459819","3535747","3607222","3672897","3734314","3794654","3855372","3896779","3912746","3926875","3939942","3953356","3971421","3995444","4022610","4051232","4119674","4188204","4218775","4252916","4286937","4318074","4345898","4369801","4388966","4400516","4405307","4407577","4400904","4381941",
"Burundi","BDI","Rural population","SP.RUR.TOTL","2689581","2756414","2825203","2883480","2965489","3046604","3116897","3192598","3264866","3331079","3398321","3475683","3468204","3455878","3536433","3617072","3689989","3776693","3877632","3964575","4125700","4288525","4387161","4497270","4598557","4689688","4768597","4867902","4964492","5048750","5139904","5233682","5361916","5176187","5194577","5504970","5490938","5472582","5562773","5683541","5787529","5918664","6071677","6249682","6469754","6696167","6921702","7160953","7440530","7805682","8155352","8423640","8698973","8984203","9259032","9431523","9552623","9738163","9995643","10287647","10545078","10786763",
"Belgium","BEL","Rural population","SP.RUR.TOTL","690173","683837","675039","665612","657593","649491","639888","629663","618582","607025","594492","582711","572373","561805","551360","540999","530184","510589","491485","473116","455398","440204","430030","420141","410476","401233","392205","383459","375867","368490","361118","354059","347362","340654","333815","326709","319832","313175","306498","300145","294313","289464","285082","280571","276160","272130","268551","265111","261859","258792","255937","254101","250572","246734","242900","239464","235807","231939","228427","225069","221657","218295",
"Benin","BEN","Rural population","SP.RUR.TOTL","2279270","2299768","2321783","2344780","2368689","2393343","2418450","2443653","2468849","2494012","2518800","2543374","2567801","2591941","2615436","2638632","2661720","2684914","2707619","2736741","2785778","2837536","2891101","2945765","3001457","3058507","3116923","3176841","3237913","3300034","3363159","3427406","3502420","3644195","3764495","3823934","3904027","3999236","4102012","4207907","4315471","4424587","4530712","4631064","4733654","4845400","4953435","5053924","5159607","5266858","5375270","5484900","5595366","5706707","5820544","5937048","6054660","6173197","6291307","6408115","6521955","6632056",
"Burkina Faso","BFA","Rural population","SP.RUR.TOTL","4558446","4620091","4683541","4749087","4817483","4889820","4964771","5042174","5122818","5205100","5289220","5373259","5458127","5547370","5643692","5748837","5851697","5957720","6073395","6195229","6322519","6452105","6582972","6718117","6856646","6995032","7154599","7332373","7510059","7688773","7869863","8047399","8223082","8404113","8591695","8786711","8984800","9167398","9351767","9553704","9762505","9978658","10199547","10424994","10654996","10887626","11118137","11363537","11621238","11881653","12146783","12419447","12704037","12989920","13275977","13564948","13852529","14134437","14405827","14670338","14935196","15196430",
"Bangladesh","BGD","Rural population","SP.RUR.TOTL","47808572","49144396","50522339","51938875","53388436","54866714","56367905","57922993","59510197","61061258","62413407","62973800","63645712","65059802","66357702","67352819","68206648","69050363","69903397","70685915","71465356","72541510","74198745","75903705","77577298","79170095","80640812","82005073","83322746","84617727","85920630","87113513","88338922","89639380","90956547","92240429","93427236","94656064","95976181","97345170","98716621","99943164","100932171","101791806","102546176","103135334","103381656","103436270","103295671","103121684","103188230","103307619","103432288","103566785","103659677","103681684","103727348","103777884","103723251","103604879","103504655","103398765",
"Bulgaria","BGR","Rural population","SP.RUR.TOTL","4948578","4862618","4768184","4666744","4561889","4450351","4357529","4279849","4204219","4129877","4049527","3981375","3909118","3838830","3773605","3700908","3632541","3572033","3496879","3423053","3358522","3325011","3290185","3253796","3216973","3172930","3135449","3108935","3081354","3015064","2931350","2873111","2813472","2767905","2739354","2708267","2675519","2640661","2604686","2571814","2541005","2469539","2388453","2342006","2297078","2252963","2209465","2167172","2126239","2087198","2048433","2010650","1974416","1938841","1903435","1866995","1829783","1792408","1755697","1719734","1685936","1648939",
"Bahrain","BHR","Rural population","SP.RUR.TOTL","28410","29492","30589","31711","32860","33777","34309","34797","35256","35698","36110","36910","38259","39768","41295","42839","44389","45932","47456","48947","50397","51644","52666","53665","54708","55795","56918","58055","59189","60297","61366","62488","64330","66584","68865","71174","73495","75824","78149","80454","82726","84936","87008","90410","96689","104424","112129","119786","127356","134705","137943","137025","137659","140866","145339","149849","153794","157542","159339","158474","155046","151858",
"Bahamas, The","BHS","Rural population","SP.RUR.TOTL","46130","47541","49015","50501","51847","53097","54416","55796","57221","58573","59535","60072","60371","60512","60554","60530","60495","60495","60465","60377","60185","59626","59040","58472","57911","57367","56815","56218","55596","55000","54574","55027","55568","56140","56624","57032","57388","57704","57999","58213","58480","59171","59813","60475","61152","61847","62563","63300","64059","64833","65595","66232","66738","67119","67444","67756","67981","68133","68224","68241","68104","67855",
"Bosnia and Herzegovina","BIH","Rural population","SP.RUR.TOTL","2641352","2670708","2695206","2717133","2736068","2751973","2764446","2773061","2777892","2779408","2777690","2775027","2775223","2773377","2769384","2763658","2756036","2746427","2734736","2721328","2707078","2699075","2709425","2719778","2728894","2735665","2739867","2741885","2741237","2737359","2730338","2720432","2570270","2358060","2238361","2219674","2300493","2370280","2396816","2405883","2407974","2403780","2392506","2370935","2334584","2294239","2261084","2220323","2172020","2123495","2074833","2025863","1976850","1934707","1898380","1861795","1826891","1793080","1759737","1726532","1691724","1654279",
"Belarus","BLR","Rural population","SP.RUR.TOTL","5541766","5498539","5456899","5414847","5370261","5327265","5281469","5234313","5183803","5128878","5061496","4981753","4897996","4809523","4714698","4625987","4533373","4443919","4357973","4274272","4194898","4118594","4041007","3963186","3884720","3807158","3730271","3653104","3561979","3500006","3466314","3427851","3395342","3363016","3319567","3269569","3219771","3168072","3115862","3059960","2996577","2933092","2867027","2800401","2735436","2671686","2611003","2555356","2503383","2454844","2402066","2347623","2295865","2247579","2202165","2158923","2115365","2068303","2020372","1974004","1924485","1876469",
"Belize","BLZ","Rural population","SP.RUR.TOTL","42020","43391","44814","46365","48047","49818","51686","53633","55634","57610","59288","60555","61719","62818","63887","65177","66719","68290","69890","71568","73475","75597","77741","79898","82081","84302","86558","88846","91174","93538","95923","98320","100746","103209","105881","109055","112865","117237","121915","126649","131266","135510","139861","144283","148772","153329","157946","162616","167318","172024","176424","180495","184553","188606","192604","196468","200204","203829","207370","210633","213159","215213",
"Bermuda","BMU","Rural population","SP.RUR.TOTL","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"Bolivia","BOL","Rural population","SP.RUR.TOTL","2344558","2382156","2420613","2459925","2500005","2541040","2583020","2626042","2670156","2715435","2761688","2809116","2857635","2907229","2957921","3009287","3061445","3087149","3102847","3116959","3128979","3139103","3147014","3152976","3156973","3159674","3160879","3160917","3159607","3156924","3152342","3145804","3139596","3162725","3184047","3203241","3221153","3237796","3253531","3268951","3283512","3296749","3312530","3328768","3344495","3359918","3375431","3390940","3405346","3419056","3431952","3443860","3454705","3470209","3488305","3505243","3521044","3535867","3548811","3559929","3566167","3566464",
"Brazil","BRA","Rural population","SP.RUR.TOTL","39368360","39833002","40274770","40694599","41082862","41434325","41736139","41988198","42190751","42356572","42490442","42574196","42624091","42653748","42651680","42622559","42572652","42512111","42436669","42342874","42228624","42094019","41925951","41726771","41492131","41223715","40911314","40561570","40174344","39755196","39301227","38809454","38282998","37739032","37181660","36611082","36026735","35313906","34582538","33836764","33078329","32874746","32702375","32502533","32287566","32065630","31829502","31577815","31311178","31037220","30758775","30459099","30150639","29836667","29517926","29198282","28873460","28546414","28227475","27904512","27559886","27182995",
"Barbados","BRB","Rural population","SP.RUR.TOTL","147025","147583","148125","148613","149044","149412","149741","150033","150276","150532","150752","150720","150774","150869","150972","151083","151206","151343","151494","151628","151886","153248","154525","155750","156922","158007","158991","159864","160632","161326","162129","163408","164863","166298","167695","169012","170264","171475","172678","173951","175131","176133","177376","178598","179799","180978","182142","183358","184694","186005","187161","188157","189049","189849","190560","191185","191730","192195","192574","192882","193142","193336",
"Brunei Darussalam","BRN","Rural population","SP.RUR.TOTL","48305","49054","49668","50200","50653","51016","51267","51403","51416","51323","51104","50735","52179","53829","55490","57167","58854","60556","62284","64050","65868","67742","69721","71805","73962","76193","78491","80836","83196","85563","87908","90174","91331","92236","93051","93785","94437","95011","95501","95926","96291","96595","97130","97642","98067","98416","98686","98884","99019","99108","99168","99132","98991","98821","98614","98351","98021","97621","97151","96625","96075","95515",
"Bhutan","BTN","Rural population","SP.RUR.TOTL","213309","218460","224083","230136","236443","243058","249985","257210","264733","272572","280694","289031","297574","306351","315333","324524","333941","343577","353402","363308","373183","383008","392745","402472","412184","421825","431381","440829","450069","459068","466925","470285","447882","422967","418838","419196","422169","424362","426900","431766","437951","443498","448376","452565","456066","457925","459756","460301","460496","460398","460046","459492","458857","458114","457145","455790","454145","452410","450437","448104","445612","443105",
"Botswana","BWA","Rural population","SP.RUR.TOTL","497171","508162","519616","531631","543618","549055","549349","549069","548208","546780","545848","549779","565852","589017","614736","641423","669050","697446","726325","755392","783910","810255","823635","830297","833841","834397","831581","824952","813937","798601","778954","755290","760882","770817","779843","787547","793774","798714","802600","805655","807901","809395","815528","821559","827516","833895","840915","827547","814089","800400","786215","771134","766446","763364","760210","757133","754349","751776","749004","745611","741589","736148",
"Central African Republic","CAF","Rural population","SP.RUR.TOTL","1342103","1355446","1369293","1383671","1398573","1414264","1430768","1448146","1465344","1482885","1498998","1512565","1523940","1534213","1544113","1553733","1563147","1571584","1579962","1588469","1597125","1606136","1615511","1625206","1635303","1645916","1656934","1668592","1686148","1723162","1774725","1828497","1885177","1944061","2003592","2056756","2108555","2165211","2222804","2282516","2344256","2394525","2444784","2501313","2552785","2606573","2654210","2698020","2747080","2798337","2847115","2880145","2893196","2897641","2881208","2878250","2912198","2949077","2987375","3033389","3088372","3129787",
"Canada","CAN","Rural population","SP.RUR.TOTL","5540976","5541960","5492247","5441341","5390322","5334312","5284252","5275481","5256115","5223145","5191541","5251122","5338874","5431539","5535266","5644413","5744499","5802629","5851095","5899610","5966378","6028261","6059713","6079070","6095759","6110627","6133043","6209133","6284808","6393132","6484711","6555149","6557450","6553895","6550090","6541741","6528757","6477628","6415815","6352957","6297326","6263120","6307139","6339248","6373758","6409413","6444858","6447564","6457255","6470872","6482352","6491507","6548144","6603314","6655859","6691082","6752474","6815687","6890028","6962996","7013300","7017013",
